City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kutna hora,49.9484,15.2682,5.91,81,100,5.36,CZ,1670192227
1,healdsburg,38.6105,-122.8692,15.11,76,75,3.6,US,1670192228
2,batemans bay,-35.7167,150.1833,25.67,48,31,1.37,AU,1670192228
3,rikitea,-23.1203,-134.9692,23.93,82,69,6.07,PF,1670192229
4,talnakh,69.4865,88.3972,-6.55,97,100,3.12,RU,1670192229
5,clyde river,70.4692,-68.5914,-14.87,85,100,11.83,CA,1670192230
6,gat,31.61,34.7642,16.33,65,0,2.31,IL,1670192230
7,erzin,36.9559,36.2,13.95,56,3,1.54,TR,1670192230
8,luderitz,-26.6481,15.1594,16.26,68,3,8.46,NA,1670192231
9,daru,-9.0763,143.2092,28.04,68,87,1.52,PG,1670192231
10,bredasdorp,-34.5322,20.0403,14.45,69,86,1.61,ZA,1670192232
11,valparaiso,-33.0393,-71.6273,26.13,74,0,6.69,CL,1670192130
12,yellowknife,62.456,-114.3525,-19.71,65,75,5.66,CA,1670192232
13,butaritari,3.0707,172.7902,26.9,80,29,5.49,KI,1670192119
14,lebu,-37.6167,-73.65,15.55,75,0,6.02,CL,1670192233
15,vila franca do campo,37.7167,-25.4333,14.55,80,31,3.33,PT,1670192234
16,jamestown,42.097,-79.2353,0.77,48,0,4.12,US,1670192130
17,sobolevo,54.4299,31.8996,-9.66,87,100,4.34,RU,1670192234
18,saldanha,-33.0117,17.9442,14.03,79,1,7.59,ZA,1670192235
19,severo-kurilsk,50.6789,156.125,-4.49,60,84,11.29,RU,1670192235
20,mount gambier,-37.8333,140.7667,13.21,77,100,5.33,AU,1670192235
21,colesberg,-30.72,25.0972,20.11,21,100,4.41,ZA,1670192236
22,san cristobal,7.7669,-72.225,22.1,80,76,1.99,VE,1670192236
23,george town,5.4112,100.3354,26.96,88,40,1.54,MY,1670192101
24,mataura,-46.1927,168.8643,10.27,69,100,1.47,NZ,1670192237
25,ushuaia,-54.8,-68.3,9.79,66,40,7.72,AR,1670192238
26,dengzhou,37.8086,120.7508,2.04,52,44,4.74,CN,1670192238
27,ukiah,39.1502,-123.2078,12.98,83,100,3.09,US,1670192043
28,port alfred,-33.5906,26.891,18.43,89,100,5.97,ZA,1670192239
29,iqaluit,63.7506,-68.5145,-2.15,100,100,7.72,CA,1670192013
30,sri aman,1.2376,111.4621,24.03,94,100,0.0,MY,1670192240
31,tigil,57.8,158.6667,-17.34,96,100,2.24,RU,1670192240
32,bell ville,-32.6259,-62.6887,36.0,12,3,3.75,AR,1670192241
33,huaidian,33.4333,115.0333,1.12,49,62,0.91,CN,1670192241
34,anadyr,64.75,177.4833,-11.72,84,20,11.0,RU,1670192241
35,cabo san lucas,22.8909,-109.9124,29.61,61,0,0.0,MX,1670192073
36,bengkulu,-3.8004,102.2655,23.51,90,100,1.51,ID,1670192242
37,mahebourg,-20.4081,57.7,25.16,78,40,3.6,MU,1670192155
38,ponta do sol,32.6667,-17.1,18.34,85,99,8.59,PT,1670192243
39,tuktoyaktuk,69.4541,-133.0374,-27.0,83,20,4.63,CA,1670192243
40,luanda,-8.8368,13.2343,24.95,82,100,2.3,AO,1670192243
41,bluff,-46.6,168.3333,10.45,66,100,3.96,NZ,1670192244
42,touros,-5.1989,-35.4608,26.09,74,76,6.44,BR,1670192245
43,aberdeen,57.1437,-2.0981,5.27,91,75,3.6,GB,1670192246
44,avarua,-21.2078,-159.775,28.03,83,100,4.12,CK,1670192246
45,agboville,5.928,-4.2132,24.0,93,54,1.15,CI,1670192247
46,chapais,49.7834,-74.8492,-11.12,95,100,3.99,CA,1670192247
47,punta arenas,-53.15,-70.9167,8.06,71,75,13.38,CL,1670192164
48,atuona,-9.8,-139.0333,25.06,81,14,7.22,PF,1670192118
49,sirsi,14.6167,74.85,21.27,69,91,2.32,IN,1670191781
50,khatanga,71.9667,102.5,-18.31,90,100,3.7,RU,1670192248
51,arraial do cabo,-22.9661,-42.0278,23.92,78,0,7.2,BR,1670192248
52,sitka,57.0531,-135.33,1.94,75,0,2.57,US,1670192249
53,salihorsk,52.7876,27.5415,-6.38,82,100,5.58,BY,1670192249
54,turukhansk,65.8167,87.9833,-14.0,96,100,4.19,RU,1670192249
55,pevek,69.7008,170.3133,-16.46,94,100,5.29,RU,1670192250
56,ngama,11.7833,17.1667,23.81,16,34,4.22,TD,1670192250
57,matagami,49.7502,-77.6328,-9.94,92,40,2.57,CA,1670192251
58,kapaa,22.0752,-159.319,28.18,72,40,5.14,US,1670192252
59,anloga,5.7947,0.8973,27.41,82,66,5.63,GH,1670192252
60,longyearbyen,78.2186,15.6401,-0.09,93,100,2.06,SJ,1670192253
61,albany,42.6001,-73.9662,1.47,68,87,1.51,US,1670192042
62,esperance,-33.8667,121.9,16.02,83,93,5.5,AU,1670192254
63,port hardy,50.6996,-127.4199,2.1,80,20,1.03,CA,1670192140
64,provideniya,64.3833,-173.3,1.06,93,100,10.0,RU,1670192254
65,busselton,-33.65,115.3333,15.66,69,100,5.8,AU,1670192255
66,hobart,-42.8794,147.3294,12.92,94,75,9.77,AU,1670192079
67,leningradskiy,69.3833,178.4167,-12.8,90,100,2.48,RU,1670192255
68,bambous virieux,-20.3428,57.7575,25.14,78,40,3.6,MU,1670192256
69,vaini,-21.2,-175.2,26.09,89,75,5.14,TO,1670192256
70,cape town,-33.9258,18.4232,17.37,64,0,6.17,ZA,1670192256
